,colsample_bytree,label_0_acc,label_1_acc,label_2_acc,label_3_acc,label_4_acc,label_5_acc,lambda_l1,lambda_l2,learning_rate,loss,max_bin,max_depth,min_child_samples,min_child_weight,n_estimators,num_class,num_leaves,subsample,subsample_freq,test_acc
179,0.2,0.9641760491299898,0.793168433451119,0.6533616231269063,0.5009887936717206,0.391304347826087,0.4035853468433359,0.001,0.0001,0.03,1.0513523681409314,450,4,40,0,471,6,11,0.9,1,0.5382681255526083
180,0.3,0.9651995905834186,0.8,0.6467312027582549,0.500878927708196,0.39193629929221435,0.4096648480124708,0.01,0.001,0.02,1.0501093625342175,350,6,20,0,656,6,21,0.9,3,0.5389036251105217
181,0.3,0.9651995905834186,0.8141342756183746,0.6402333907969765,0.5040650406504065,0.384479271991911,0.413717848791894,0.01,0.01,0.03,1.0505664081640103,250,7,30,0,637,6,13,0.7,2,0.5390970380194519
182,0.25,0.9651995905834186,0.8044758539458187,0.6422225169075719,0.5051637002856515,0.3862487360970677,0.41434138737334375,0.001,0.0001,0.02,1.0508641655635114,350,7,40,0,778,6,15,0.8,3,0.5391522988505747
183,0.2,0.9631525076765609,0.8070671378091873,0.6398355655748574,0.5073610195561415,0.39004044489383216,0.4112236944660951,0.001,0.001,0.02,1.0504790682136071,450,5,40,0,1013,6,11,0.8,1,0.5397325375773652
184,0.3,0.970317297850563,0.8047114252061248,0.6468638111656279,0.500439463854098,0.3886501516683519,0.4113795791114575,0.0001,0.0001,0.03,1.0508189151564844,550,7,60,0,537,6,11,0.8,1,0.5390970380194519
185,0.25,0.9600818833162743,0.79811542991755,0.647129027980374,0.5014282575258185,0.38549039433771487,0.4113795791114575,0.01,0.01,0.015,1.0503575462257462,350,6,20,0,821,6,21,0.7,3,0.5376602564102564
186,0.2,0.9651995905834186,0.7962308598351001,0.6516377138310568,0.503076246978686,0.390798786653185,0.40265003897116136,0.001,0.01,0.015,1.0508669567512092,450,4,10,0,993,6,15,0.9,2,0.5385444297082228
187,0.3,0.962128966223132,0.8054181389870436,0.6456703354992707,0.504614370468029,0.38953488372093026,0.40701480904130943,0.0001,0.0001,0.03,1.0508114977149994,450,7,10,0,453,6,19,0.9,2,0.5391799292661361
188,0.2,0.962128966223132,0.815547703180212,0.6336029704283251,0.509887936717205,0.3808139534883721,0.41730319563522994,0.0001,0.01,0.03,1.050876907309316,350,7,40,0,679,6,17,0.7,1,0.5390970380194519
189,0.25,0.9713408393039918,0.7959952885747938,0.6516377138310568,0.500878927708196,0.3918099089989889,0.4051441932969603,0.01,0.001,0.03,1.051147641848216,550,4,40,0,600,6,9,0.8,1,0.5387931034482759
190,0.25,0.9611054247697032,0.8082449941107185,0.6412942580559607,0.506811689738519,0.38384732052578363,0.41574434918160563,0.001,0.01,0.02,1.0500746138278896,250,7,20,0,852,6,17,0.9,3,0.5394286030061892
191,0.2,0.970317297850563,0.7934040047114252,0.6512398886089378,0.4990112063282795,0.3930738119312437,0.40483242400623537,0.0001,0.001,0.015,1.0522693819847784,450,4,40,0,1002,6,6,0.8,2,0.5381299734748011
192,0.25,0.9672466734902764,0.8136631330977621,0.6393051319453653,0.507251153592617,0.38283619817997977,0.414809041309431,0.01,0.0001,0.015,1.0504750240350158,350,7,40,0,1271,6,11,0.7,2,0.539539124668435
193,0.3,0.9662231320368475,0.8073027090694935,0.64301816735181,0.504174906613931,0.38827098078867545,0.41200311769290726,0.001,0.001,0.03,1.0503983955324574,450,5,50,0,567,6,17,0.7,1,0.5394562334217506
194,0.25,0.970317297850563,0.8049469964664311,0.6438138177960483,0.505053834322127,0.38650151668351873,0.414809041309431,0.0001,0.01,0.03,1.051425288119303,550,6,10,0,599,6,11,0.8,1,0.5397877984084881
195,0.2,0.9641760491299898,0.8075382803297998,0.637846439464262,0.5067018237749945,0.3863751263902932,0.41091192517537023,0.01,0.0001,0.015,1.050587214992578,450,6,40,0,1056,6,17,0.8,3,0.5383786472148541
196,0.3,0.9692937563971341,0.7955241460541814,0.6524333642752951,0.4963744232036915,0.3923154701718908,0.40623538581449725,0.0001,0.0001,0.03,1.051702128943153,350,4,50,0,497,6,8,0.8,1,0.5380194518125553
197,0.3,0.9662231320368475,0.8004711425206125,0.6462007691287628,0.503735442759833,0.3885237613751264,0.40795011691348404,0.0001,0.01,0.03,1.0509436605026423,350,7,50,0,475,6,11,0.7,1,0.5385444297082228
198,0.25,0.9651995905834186,0.8011778563015313,0.6447420766476595,0.505493298176225,0.3890293225480283,0.406858924395947,0.01,0.001,0.015,1.0511144757977389,350,6,10,0,932,6,13,0.7,1,0.5386549513704686
